Modelo	CDO	Color	 Precio Lista2 	Precio Liq
AVEO SEDAN NB 1.4 MT BASE	371135	BURDEO METALICO	 $ 7.058.000 	 $ 5.790.000 
AVEO SEDAN NB 1.4 MT BASE	371136	AZUL CLARO METALICO	 $ 7.058.000 	 $ 5.790.000 
CAMARO III NB 2P 6.2L SS AT	363028	ROJO BRILLANTE	 $ 31.045.000 	 $ 27.890.000 
CAMARO III NB 2P 6.2L SS AT	363029	PLATA METALICO	 $ 31.045.000 	 $ 27.890.000 
CAMARO III NB 2P 6.2L SS MT	346073	NEGRO	 $ 29.975.000 	 $ 25.990.000 
CAMARO III NB 2P 6.2L SS MT	363412	BLANCO	 $ 29.975.000 	 $ 26.890.000 
CAPTIVA 5 LT 2.2D AWD 6MT	374768	NEGRO	 $ 17.554.000 	 $ 14.190.000 
CAPTIVA 5 LT FULL 2.2D AWD 6AT	360497	CAFE ARENA METALICO	 $ 19.704.000 	 $ 16.290.000 
CRUZE E5 NB 1.8 MT LS	371150	AZUL METALICO MISTICO	 $ 9.884.220 	 $ 8.490.000 
CRUZE II NB 2.0D AT LS FULL	337911	GRIS METALICO	 $ 13.856.320 	 $ 11.990.000 
CRUZE II NB 2.0D AT LS FULL	374774	PLATA METALICO	 $ 13.856.320 	 $ 12.590.000 
CRUZE II NB 2.0D MT LS	342190	GRIS ACERO METALICO	 $ 12.785.720 	 $ 10.590.000 
CRUZE II NB 2.0D MT LS	348082	PLATA METALICO	 $ 12.785.720 	 $ 10.590.000 
ORLANDO LS 2.0LD 6AT	371185	AZUL METALICO MISTICO	 $ 15.052.000 	 $ 13.240.000 
ORLANDO LS 2.0LD 6MT	367026	BURDEO METALICO	 $ 14.023.000 	 $ 12.490.000 
ORLANDO LT E5 2.4 6AT	365378	AZUL METALICO MISTICO	 $ 12.630.000 	 $ 10.990.000 
ORLANDO LT E5 2.4 6AT	369614	AZUL METALICO MISTICO	 $ 12.630.000 	 $ 10.990.000 
SAIL II NB 1.4 LS	371342	PLATA	 $ 6.102.000 	 $ 5.350.000 
SAIL II NB 1.4 LT	371399	NARANJO METALICO	 $ 6.808.000 	 $ 5.790.000 
SILVERADO LTZ III CC 5.3 4WD AT	359650	BLANCO INVIERNO	 $ 26.490.000 	 $ 23.590.000 
SONIC E5 HB 5P 1.6 MT	371201	PLATA METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 HB 5P 1.6 MT	371202	BURDEO METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 HB 5P 1.6 MT	371205	CAFE ARENA METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 LT NB  1.6 MT	371219	CAFE ESPRESSO	 $ 9.259.000 	 $ 7.790.000 
SONIC II HB 5P 1.6 MT	372655	NEGRO	 $ 7.768.000 	 $ 6.840.000 
SONIC II HB 5P 1.6 MT	374314	NEGRO	 $ 7.768.000 	 $ 6.840.000 
SONIC II LT NB  1.6 AT	375157	AZUL CLARO METALICO	 $ 9.547.000 	 $ 8.190.000 
SPARK LITE E5 0.8 MT	365385	PLATA METALICO	 $ 4.645.000 	 $ 3.690.000 
SPARK LITE E5 0.8 MT	371449	PLATA METALICO	 $ 4.645.000 	 $ 3.690.000 
SPARK LITE E5 0.8 MT	371434	BLANCO	 $ 4.645.000 	 $ 3.690.000 
SPARK LITE E5 0.8 MT	371438	BLANCO	 $ 4.645.000 	 $ 3.690.000 
SPARK LITE E5 0.8 MT	374353	BLANCO	 $ 4.645.000 	 $ 3.690.000 
SPARK LITE E5 1.0 MT	371465	AMARILLO MIEL	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374365	CELESTE MET	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374858	CELESTE MET	 $ 5.038.000 	 $ 3.850.000 
TRACKER 1.8 FWD E5 LS MT	366658	PLATA METALICO	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	371255	PLATA METALICO	 $ 10.804.580 	 $ 9.490.000 
TRAVERSE III LT SU 5P 3.6L AWD  	363414	GRIS GRAFITO METALICO	 $ 27.087.000 	 $ 24.590.000 
TRAVERSE IV LTZ SU 5P 3.6L AWD	363415	GRIS GRAFITO METALICO	 $ 29.328.000 	 $ 26.590.000 
TRAVERSE IV LTZ SU 5P 3.6L AWD	366642	PLATA METALICO	 $ 29.328.000 	 $ 26.590.000 
